iter	Passed	Remaining
200	847	3367
201	859	3395
202	866	3401
203	868	3388
204	870	3375
205	882	3401
206	883	3385
207	888	3381
208	890	3371
209	894	3366
210	899	3363
211	901	3350
212	905	3345
213	912	3351
214	917	3351
215	919	3337
216	922	3328
217	928	3332
218	935	3334
219	943	3346
220	945	3332
221	948	3323
222	951	3314
223	953	3303
224	956	3295
225	958	3283
226	961	3274
227	965	3269
228	967	3258
229	970	3250
230	972	3237
231	974	3227
232	978	3222
233	981	3212
234	983	3200
235	985	3188
236	987	3179
237	989	3167
238	991	3155
239	993	3146
240	995	3134
241	997	3123
242	998	3111
243	1000	3100
244	1002	3089
245	1004	3079
246	1006	3069
247	1008	3057
248	1010	3046
249	1011	3034
250	1013	3024
251	1015	3013
252	1016	3002
253	1018	2991
254	1020	2981
255	1022	2970
256	1023	2959
257	1025	2948
258	1027	2940
259	1029	2931
260	1031	2919
261	1034	2913
262	1035	2902
263	1037	2893
264	1040	2885
265	1042	2875
266	1043	2864
267	1045	2854
268	1049	2853
269	1051	2843
270	1053	2834
271	1055	2825
272	1057	2815
273	1059	2805
274	1061	2797
275	1062	2787
276	1064	2777
277	1067	2771
278	1068	2761
279	1070	2752
280	1073	2745
281	1075	2737
282	1076	2728
283	1078	2718
284	1081	2712
285	1082	2703
286	1084	2694
287	1087	2687
288	1088	2679
289	1091	2671
290	1093	2663
291	1094	2654
292	1095	2644
293	1097	2635
294	1099	2628
295	1101	2619
296	1103	2611
297	1105	2604
298	1107	2596
299	1108	2587
300	1110	2579
301	1112	2571
302	1114	2562
303	1115	2555
304	1117	2546
305	1120	2540
306	1121	2532
307	1123	2524
308	1126	2519
309	1128	2511
310	1129	2502
311	1130	2493
312	1132	2486
313	1134	2478
314	1136	2471
315	1138	2463
316	1140	2457
317	1142	2449
318	1143	2441
319	1146	2436
320	1148	2428
321	1149	2420
322	1151	2414
323	1153	2406
324	1155	2398
325	1156	2391
326	1158	2383
327	1160	2377
328	1161	2369
329	1163	2362
330	1165	2355
331	1166	2347
332	1168	2340
333	1170	2333
334	1172	2327
335	1174	2320
336	1175	2313
337	1177	2305
338	1179	2299
339	1181	2292
340	1183	2287
341	1186	2281
342	1188	2276
343	1189	2269
344	1192	2263
345	1193	2256
346	1195	2250
347	1198	2245
348	1200	2239
349	1201	2232
350	1203	2225
351	1205	2219
352	1207	2213
353	1209	2206
354	1212	2203
355	1214	2196
356	1215	2189
357	1217	2182
358	1219	2177
359	1221	2171
360	1222	2164
361	1224	2158
362	1226	2151
363	1227	2145
364	1229	2138
365	1230	2132
366	1232	2125
367	1234	2119
368	1235	2113
369	1237	2107
370	1239	2101
371	1241	2095
372	1243	2089
373	1245	2084
374	1247	2078
375	1248	2072
376	1250	2066
377	1252	2060
378	1253	2054
379	1255	2048
380	1257	2042
381	1258	2036
382	1260	2030
383	1262	2024
384	1263	2018
385	1266	2014
386	1268	2009
387	1271	2005
388	1273	1999
389	1274	1993
390	1276	1988
391	1279	1984
392	1285	1984
393	1288	1982
394	1291	1978
395	1294	1973
396	1296	1969
397	1297	1963
398	1299	1957
399	1301	1952
400	1304	1948
401	1306	1942
402	1307	1937
403	1311	1934
404	1312	1928
405	1319	1930
406	1320	1924
407	1323	1919
408	1325	1914
409	1326	1908
410	1327	1902
411	1331	1900
412	1333	1895
413	1335	1889
414	1337	1885
415	1339	1879
416	1341	1875
417	1345	1873
418	1346	1867
419	1349	1862
420	1350	1857
421	1352	1851
422	1353	1846
423	1356	1843
424	1358	1838
425	1360	1833
426	1362	1828
427	1364	1823
428	1366	1818
